ISIN,Döviz Cinsi,Vade Tarihi,Vadeye Kalan Gün,Satýþ Faiz Oraný,Stopaj Durumu,Kupon Faiz Oraný,Kupon Dönemi
US900123CR91,USD,23.12.2023,137,%8.55,Stopajsýz,%3.6250,6 ay
US900123CF53,USD,22.03.2024,227,%8.31,Stopajsýz,%2.8750,6 ay
US900123CV04,USD,10.08.2024,368,%8.05,Stopajsýz,%3.1750,6 ay
US900123CW86,USD,14.11.2024,464,%7.92,Stopajsýz,%2.8000,6 ay
US900123AW05,USD,05.02.2025,547,%7.80,Stopajsýz,%3.6875,6 ay
US900123CX69,USD,13.03.2025,583,%7.98,Stopajsýz,%2.1250,6 ay
XS1843443356,EUR,31.03.2025,601,%6.26,Stopajsýz,%4.6250,12 ay
XS1629918415,EUR,14.06.2025,676,%6.25,Stopajsýz,%3.2500,12 ay
US900123CZ18,USD,14.10.2025,798,%8.15,Stopajsýz,%3.1875,6 ay
US900123DB31,USD,26.01.2026,902,%8.18,Stopajsýz,%2.3750,6 ay
XS1909184753,EUR,16.02.2026,923,%6.42,Stopajsýz,%5.2000,12 ay
US900123CJ75,USD,14.04.2026,980,%8.21,Stopajsýz,%2.1250,6 ay
US900123CK49,USD,09.10.2026,1158,%8.16,Stopajsýz,%2.4375,6 ay
US900123CL22,USD,25.03.2027,1325,%8.21,Stopajsýz,%3.0000,6 ay
XS2361850527,EUR,08.07.2027,1430,%6.64,Stopajsýz,%4.3750,12 ay
USM88269US88,USD,24.09.2027,1508,%8.36,Stopajsýz,%4.3000,6 ay
US900123DF45,USD,15.01.2028,1621,%8.52,Stopajsýz,%4.9375,6 ay
US900123CP36,USD,17.02.2028,1654,%8.14,Stopajsýz,%2.5625,6 ay
US900123CQ19,USD,24.10.2028,1904,%8.21,Stopajsýz,%3.0625,6 ay
US900123DH01,USD,14.03.2029,2045,%8.65,Stopajsýz,%4.6875,6 ay
US900123CT57,USD,26.04.2029,2088,%8.37,Stopajsýz,%3.8125,6 ay
US900123AL40,USD,15.01.2030,2352,%8.35,Stopajsýz,%5.9375,6 ay
US900123CY43,USD,13.03.2030,2409,%8.37,Stopajsýz,%2.6250,6 ay
US900123DJ66,USD,13.07.2030,2531,%8.72,Stopajsýz,%4.5625,6 ay
US900123DA57,USD,15.01.2031,2717,%8.47,Stopajsýz,%2.9750,6 ay
US900123DC14,USD,26.06.2031,2879,%8.45,Stopajsýz,%2.9375,6 ay
US900123DG28,USD,19.01.2033,3452,%8.81,Stopajsýz,%4.6875,6 ay
US900123DD96,USD,20.09.2033,3696,%8.43,Stopajsýz,%3.2500,6 ay
US900123AT75,USD,14.02.2034,3843,%8.35,Stopajsýz,%4.0000,6 ay
US900123AY60,USD,17.03.2036,4605,%8.58,Stopajsýz,%3.4375,6 ay
US900123BB58,USD,05.03.2038,5323,%8.53,Stopajsýz,%3.6250,6 ay
US900123BG46,USD,30.05.2040,6140,%8.88,Stopajsýz,%3.3750,6 ay
US900123BJ84,USD,14.01.2041,6369,%8.68,Stopajsýz,%3.0000,6 ay
US900123CB40,USD,16.04.2043,7191,%8.49,Stopajsýz,%2.4375,6 ay
US900123CG37,USD,17.02.2045,7864,%8.75,Stopajsýz,%3.3125,6 ay
US900123CM05,USD,11.05.2047,8677,%8.71,Stopajsýz,%2.8750,6 ay
