ISIN,Döviz Cinsi,Vade Tarihi,Vadeye Kalan Gün,Alýþ Faiz Oraný,Stopaj Durumu,Kupon Faiz Oraný
US900123CR91,USD,23.12.2023,100,%10.23,Stopajsýz,%3.6250
US900123CF53,USD,22.03.2024,190,%8.95,Stopajsýz,%2.8750
US900123CV04,USD,10.08.2024,331,%8.06,Stopajsýz,%3.1750
US900123CW86,USD,14.11.2024,427,%8.20,Stopajsýz,%2.8000
US900123AW05,USD,05.02.2025,510,%8.08,Stopajsýz,%3.6875
US900123CX69,USD,13.03.2025,546,%8.49,Stopajsýz,%2.1250
XS1843443356,EUR,31.03.2025,564,%5.98,Stopajsýz,%4.6250
XS1629918415,EUR,14.06.2025,639,%5.85,Stopajsýz,%3.2500
US900123CZ18,USD,14.10.2025,761,%8.42,Stopajsýz,%3.1875
US900123DB31,USD,26.01.2026,865,%8.35,Stopajsýz,%2.3750
XS1909184753,EUR,16.02.2026,886,%6.26,Stopajsýz,%5.2000
US900123CJ75,USD,14.04.2026,943,%8.35,Stopajsýz,%2.1250
US900123CK49,USD,09.10.2026,1121,%8.34,Stopajsýz,%2.4375
US900123CL22,USD,25.03.2027,1288,%8.41,Stopajsýz,%3.0000
XS2361850527,EUR,08.07.2027,1393,%6.61,Stopajsýz,%4.3750
USM88269US88,USD,24.09.2027,1471,%8.37,Stopajsýz,%4.3000
US900123DF45,USD,15.01.2028,1584,%8.63,Stopajsýz,%4.9375
US900123CP36,USD,17.02.2028,1617,%8.35,Stopajsýz,%2.5625
US900123CQ19,USD,24.10.2028,1867,%8.41,Stopajsýz,%3.0625
US900123DH01,USD,14.03.2029,2008,%8.90,Stopajsýz,%4.6875
US900123CT57,USD,26.04.2029,2051,%8.64,Stopajsýz,%3.8125
US900123AL40,USD,15.01.2030,2315,%8.61,Stopajsýz,%5.9375
US900123CY43,USD,13.03.2030,2372,%8.76,Stopajsýz,%2.6250
US900123DJ66,USD,13.07.2030,2494,%9.22,Stopajsýz,%4.5625
US900123DA57,USD,15.01.2031,2680,%8.91,Stopajsýz,%2.9750
US900123DC14,USD,26.06.2031,2842,%8.92,Stopajsýz,%2.9375
US900123DG28,USD,19.01.2033,3415,%9.17,Stopajsýz,%4.6875
US900123DD96,USD,20.09.2033,3659,%8.67,Stopajsýz,%3.2500
US900123AT75,USD,14.02.2034,3806,%8.64,Stopajsýz,%4.0000
US900123AY60,USD,17.03.2036,4568,%8.90,Stopajsýz,%3.4375
US900123BB58,USD,05.03.2038,5286,%8.79,Stopajsýz,%3.6250
US900123BG46,USD,30.05.2040,6103,%9.01,Stopajsýz,%3.3750
US900123BJ84,USD,14.01.2041,6332,%8.96,Stopajsýz,%3.0000
US900123CB40,USD,16.04.2043,7154,%8.82,Stopajsýz,%2.4375
US900123CG37,USD,17.02.2045,7827,%9.09,Stopajsýz,%3.3125
