Kod-Vade,Para Cinsi,Taným**,Ýlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamýz Alýþ Fiyatý,Bankamýz Satýþ Fiyatý,Getirisi(%)
640 -23/12/2023,USD,S.F.T.,23/12/2023,138,3.625,6 Ay,"1,006.000","1,021.000",3.8600
673 -22/03/2024,USD,S.F.T.,22/09/2023,46,2.875,6 Ay,"1,010.000","1,025.000",5.1000
671 -10/08/2024,USD,S.F.T.,10/08/2023,3,3.175,6 Ay,"1,022.000","1,037.000",5.7000
612 -14/11/2024,USD,S.F.T.,14/11/2023,99,2.800,6 Ay,990.000,"1,006.000",6.1200
622 -05/02/2025,USD,S.F.T.,05/08/2023,182,3.687,6 Ay,"1,033.000","1,051.000",6.3600
616 -13/03/2025,USD,S.F.T.,13/09/2023,37,2.125,6 Ay,966.000,984.000,6.4100
659 -14/10/2025,USD,S.F.T.,14/10/2023,68,3.187,6 Ay,989.000,"1,007.000",6.9900
691 -26/01/2026,USD,S.F.T.,26/01/2024,172,2.375,6 Ay,930.000,948.000,7.1200
669 -14/04/2026,USD,S.F.T.,14/10/2023,68,2.125,6 Ay,922.000,942.000,7.1900
680 -09/10/2026,USD,S.F.T.,09/10/2023,63,2.437,6 Ay,926.000,946.000,7.3700
637 -25/03/2027,USD,S.F.T.,25/09/2023,49,3.000,6 Ay,954.000,974.000,7.5100
611 -24/09/2027,USD,S.F.T.,24/09/2023,48,4.300,6 Ay,"1,037.000","1,057.000",7.8500
629 -15/01/2028,USD,S.F.T.,15/01/2024,161,4.937,6 Ay,"1,053.000","1,073.000",8.0300
638 -17/02/2028,USD,S.F.T.,17/08/2023,10,2.562,6 Ay,915.000,935.000,7.4700
654 -24/10/2028,USD,S.F.T.,24/10/2023,78,3.062,6 Ay,931.000,951.000,7.6800
688 -14/03/2029,USD,S.F.T.,14/09/2023,38,4.687,6 Ay,"1,065.000","1,087.000",8.2300
645 -26/04/2029,USD,S.F.T.,26/10/2023,80,3.812,6 Ay,987.000,"1,009.000",7.8800
630 -15/01/2030,USD,S.F.T.,15/01/2024,161,5.937,6 Ay,"1,177.000","1,205.000",7.8800
668 -13/03/2030,USD,S.F.T.,13/09/2023,37,2.625,6 Ay,863.000,885.000,7.9200
695 -13/07/2030,USD,S.F.T.,13/01/2024,159,4.562,6 Ay,"1,023.000","1,045.000",8.3600
628 -15/01/2031,USD,S.F.T.,15/01/2024,161,2.975,6 Ay,864.000,886.000,8.0700
698 -26/06/2031,USD,S.F.T.,26/12/2023,141,2.937,6 Ay,859.000,881.000,8.0500
617 -19/01/2033,USD,S.F.T.,19/01/2024,165,4.687,6 Ay,"1,035.000","1,057.000",8.5400
623 -20/09/2033,USD,S.F.T.,20/09/2023,44,3.250,6 Ay,895.000,917.000,8.0700
631 -14/02/2034,USD,S.F.T.,14/08/2023,7,4.000,6 Ay,"1,016.000","1,040.000",7.9700
670 -17/03/2036,USD,S.F.T.,17/09/2023,41,3.437,6 Ay,895.000,917.000,8.2800
663 -05/03/2038,USD,S.F.T.,05/09/2023,29,3.625,6 Ay,922.000,944.000,8.2700
675 -30/05/2040,USD,S.F.T.,30/11/2023,115,3.375,6 Ay,827.000,852.000,8.5600
678 -14/01/2041,USD,S.F.T.,14/01/2024,160,3.000,6 Ay,761.000,786.000,8.3900
667 -16/04/2043,USD,S.F.T.,16/10/2023,70,2.437,6 Ay,672.000,694.000,8.1800
615 -17/02/2045,USD,S.F.T.,17/08/2023,10,3.312,6 Ay,825.000,847.000,8.5000
610 -11/05/2047,USD,S.F.T.,11/11/2023,96,2.875,6 Ay,718.000,740.000,8.4300
613 -31/03/2025,EUR,S.F.T.,31/03/2024,237,4.625,12 Ay,999.000,"1,019.000",4.4100
646 -14/06/2025,EUR,S.F.T.,14/06/2024,312,3.250,12 Ay,962.000,982.000,4.5300
647 -16/02/2026,EUR,S.F.T.,16/02/2024,193,5.200,12 Ay,"1,001.000","1,023.000",5.2300
642 -08/07/2027,EUR,S.F.T.,08/07/2024,336,4.375,12 Ay,927.000,950.000,5.9300
